Date_of_Payment,lat,long,pay,day
2013-08-07,33.276539,-112.18717,15.95,6
2013-08-07,33.640302,-117.769442,56.76,6
2013-08-07,33.705787,-117.816189,28.38,6
2013-08-07,33.786594,-118.298662,99.11,6
2013-08-07,35.077091,-89.759979,3.25,6
2013-08-07,36.441768,-121.416603,2,6
2013-08-07,36.961768,-93.237749,22.52,6
2013-08-07,37.592095,-77.495206,7.16,6
2013-08-07,32.774699,-117.148616,9.09,6
2013-08-07,38.585804,-121.402213,14.32,6
2013-08-07,38.027654,-122.540951,14.95,6
2013-08-07,42.462215,-83.230578,10.78,6
2013-08-07,40.071102,-86.117215,266.19,6
2013-08-07,40.013811,-75.228224,1.92,6
2013-08-07,40.009611,-75.15032,88.79,6
2013-08-07,40.754757,-73.601772,214.28,6
2013-08-07,39.732309,-84.160422,8.63,6
2013-08-07,39.491227,-76.664077,88.79,6
2013-08-07,38.914561,-77.075649,124.25,6
2013-08-07,39.762392,-86.143736,177.46,6
2013-08-08,35.078775,-89.841963,7.89,7
2013-08-08,34.956633,-89.99624,2400,7
2013-08-08,34.230353,-119.221299,1000,7
2013-08-08,33.938206,-84.540333,13.21,7
2013-08-08,33.705787,-117.816189,16.58,7
2013-08-08,33.641579,-117.73269,16.58,7
2013-08-08,33.640302,-117.769442,1000,7
2013-08-08,33.587073,-101.957394,1000,7
2013-08-08,30.078597,-81.847794,173.78,7
2013-08-08,32.692682,-96.623022,1600,7
2013-08-08,32.311724,-110.91898,10,7
2013-08-08,30.191737,-81.603557,2500,7
2013-08-08,29.550411,-95.128758,1600,7
2013-08-08,29.424132,-98.484144,5.04,7
2013-08-08,28.494344,-82.450658,60.21,7
2013-08-08,27.63573,-99.592284,2400,7
2013-08-08,25.558428,-80.458168,120.42,7
2013-08-08,35.841146,-78.630413,1.48,7
2013-08-08,32.753927,-97.786026,3200,7
2013-08-08,36.053498,-95.920371,7.49,7
2013-08-08,40.376408,-74.170037,3.21,7
2013-08-08,36.441768,-121.416603,1600,7
2013-08-08,36.283135,-114.804393,2.71,7
2013-08-08,47.104269,-123.055153,11.32,7
2013-08-08,43.482403,-83.969391,111.62,7
2013-08-08,43.433036,-111.660433,9.71,7
2013-08-08,43.011127,-83.803045,1600,7
2013-08-08,42.496485,-83.098474,111.62,7
2013-08-08,41.399129,-82.724417,1600,7
2013-08-08,41.149494,-73.98827,50.22,7
2013-08-08,41.137295,-74.105737,50.22,7
2013-08-08,40.881248,-74.489349,11.18,7
2013-08-08,40.776629,-73.953914,2400,7
2013-08-08,40.7735,-74.397996,150.66,7
2013-08-08,40.765309,-74.98743,1600,7
2013-08-08,40.787006,-74.325993,1200.88,7
2013-08-08,40.669251,-75.334887,26.28,7
2013-08-08,37.688244,-121.898741,1000,7
2013-08-08,38.190106,-120.616052,26.72,7
2013-08-08,38.898356,-94.637684,21.94,7
2013-08-08,40.754757,-73.601772,4800,7
2013-08-08,38.927256,-94.714336,21.94,7
2013-08-08,38.967943,-76.615637,7.58,7
2013-08-08,38.914561,-77.075649,62.36,7
2013-08-08,40.347017,-79.500729,2400,7
2013-08-08,40.576611,-74.362616,26.28,7
2013-08-08,40.604372,-75.473127,67,7
2013-08-08,40.608389,-74.093684,2400,7
2013-08-08,39.429055,-76.787696,2400,7
2013-08-09,33.640302,-117.769442,12.39,8
2013-08-09,40.801131,-75.310958,1709.08,8
2013-08-09,37.541886,-122.33063,13.46,8
2013-08-09,37.498586,-122.29815,13.46,8
2013-08-09,36.521811,-121.688623,2.29,8
2013-08-09,35.077091,-89.759979,7.16,8
2013-08-09,33.420061,-111.792658,9.3,8
2013-08-09,32.771419,-97.291484,82.66,8
2013-08-09,30.788123,-88.088073,15.77,8
2013-08-09,30.66709,-88.1052,15.77,8
2013-08-09,30.290839,-81.631465,27.23,8
2013-08-09,30.191737,-81.603557,27.23,8
2013-08-09,26.645895,-80.430269,20.02,8
2013-08-09,26.574736,-80.079405,101.28,8
2013-08-09,26.22116,-80.125066,101.28,8
2013-08-12,38.847391,-94.778714,43.1,11
2013-08-12,38.568305,-121.440764,7.29,11
2013-08-12,36.441768,-121.416603,5.57,11
2013-08-12,35.078775,-89.841963,4.43,11
2013-08-12,35.050713,-78.906552,12.78,11
2013-08-12,30.540328,-87.6912,2400,11
2013-08-12,33.786594,-118.298662,27.78,11
2013-08-12,38.861887,-94.660994,6.82,11
2013-08-12,32.7211,-117.174366,14.7,11
2013-08-12,33.240386,-84.273402,23.33,11
2013-08-12,33.863454,-84.008066,6.78,11
